Año;Vuelo;Resumen https://asn.flightsafety.org/wikibase/309118   https://www.ntsb.gov/Pages/AviationQueryv2.aspx;Avión;Víctimas
1992;671 de Trans Air Service;NDT. Experimentó una separación en vuelo de dos motores en su ala derecha. A pesar de los daños sufridos por la aeronave, los pilotos pudieron realizar un aterrizaje de emergencia en la base aérea de Istres-Le Tubé en Istres, Francia. Los cinco ocupantes de la aeronave sobrevivieron, sin embargo, la aeronave sufrió daños irreparables debido a un incendio en el ala derecha. Grietas en pilones por fatiga. A ~1 hora de vuelo, motor #3 (inboard derecho) se separó del ala por fractura por fatiga del pilón superior delantero (mid?spar fitting). El motor suelto impactó el motor #4 (outboard), arrancándolo también. Fatiga del metal en el pilón del motor #3: grieta subsuperficial en el fitting superior delantero, no detectable con inspecciones visuales. Se implementó Ultrasonido.;Boeing 707;0 de 5
1996;603 de Aeroperú;Cinta pitot. Falla de varios instrumentos del avión, entre ellos el altímetro y velocímetro. Con los pilotos volando en medio de la noche y desconociendo su verdadera altitud y velocidad, de repente el ala izquierda del avión impacta en el mar y este se estrella segundos después. La causa de la falla fue el error de uno de los trabajadores de mantenimiento al no quitar la cinta adhesiva que estaba cubriendo los puertos estáticos del avión, necesarios para suministrar la información correcta a los instrumentos de la cabina. Todos los 61 pasajeros y 9 tripulantes del avión murieron.;Boeing 757-23A;70 de 70
1996;800 de Trans World Airlines;Explosión de tanque. Rotura en vuelo debido a la explosión del tanque de combustible central, debido a un cortocircuito eléctrico producido por cables de alimentación de una bomba de gasolina, que habría entonces incendiado vapores de queroseno en el tanque a través de los cables del sensor de nivel de combustible.;Boeing 737-100;230 de 230
1996;301 de Birgenair;Avispa. Los tubos Pitot estaban bloqueados por nidos de avispas. La obstrucción impidió que los sistemas de la aeronave midieran correctamente la velocidad del aire, desorientación de la tripulación. Los pilotos intentaron corregir lo que creían que era una pérdida de velocidad, pero en realidad la velocidad era demasiado alta, lo que resultó en una caída en picada y el accidente del avión en el océano.;Boeing 757-200;189 de 189
1998;111 de Swissair;EWIS Fuego. La aeronave se incendió en vuelo y se estrelló en el océano Atlántico, al suroeste del Aeropuerto Internacional de Halifax, en la entrada a la bahía de Santa Margarita (Nueva Escocia, Canadá). Se descubrió que el fuego tuvo su inicio en un cable defectuoso, perteneciente a los televisores individuales del sistema de entretenimiento para el uso y disfrute de la primera clase, los cables estaban cubiertos por un material inflamable y éste fue el combustible que alimentó el incendio. El fuego avanzó y fue cortando la energía de todo lo eléctrico del avión, incluyendo las cajas negras.;McDonnell Douglas MD-11;229 de 229
2000;261 de Alaska Airlines;Bloqueo. Antes del impacto contra el mar, los pilotos intentaron invertir el avión para compensar el bloqueo del elevador en posición de descenso, aunque la maniobra no dio resultado. Alaska Airlines extendió el intervalo de lubricación y aprobación de la FAA de la prórroga, que aumentó la probabilidad de que una lubricación deficiente daría como resultado un desgaste excesivo de la rosca de la tuerca acme. Final extendido del intervalo de comprobación y aprobación de la FAA de la prórroga, que permitió el desgaste excesivo de la tuerca acme y del enroscado de la misma sin oportunidad alguna de ser detectado. La falta en el MD-83 de un mecanismo de seguridad para evitar los efectos de la pérdida total de la tuerca acme.;McDonnell Douglas MD-83;88 de 88
2000;4590 de Air France;Fuego. Un DC-10 de Continental Airlines perdió una banda de titanio de unos 3 cm de ancho y 43 cm de largo durante el despegue desde el aeropuerto Charles de Gaulle. El Concorde pasó sobre la pieza y rompió el neumático de la rueda 2 que explotó. Una parte del neumático (de unos 4,5 kg) golpeó la parte baja del ala izquierda del avión a 323 km/h. Este impacto envió una onda de presión que finalmente rompería desde dentro el depósito de combustible número 5 en su punto más débil, justo encima del tren de aterrizaje. El combustible contenido en ese depósito comenzó a derramarse sobre el ala, entrando en llamas en los segundos posteriores, ignición por un arco eléctrico o por el contacto con las secciones calientes del motor. El avión cayó sobre un hotel cercano.;Concorde;109 de 109
2001;686 de Scandinavian Airlines;Colisión Italia. La Cessna Citation fue autorizada a rodar desde la platafórma oeste por la calle de rodadura norte (calle R5), y a continuación desde la plataforma norte a la calle de rodadura principal que discurre paralela a la pista principal, una ruta que mantendría al avión alejado de pista. En lugar de esto, el piloto circuló por la calle de rodadura sur (calle de rodadura R6), cruzó la pista y rodó por la calle de rodadura principal hasta dejarla tras de si. El MD-87 de SAS recibió autorización de un controlador distinto para despegar de la pista 36R. 53 segundos más tarde, el avión de SAS, en carrera a unos 270 kilómetros por hora (146 ns), colisionó con la Cessna. Las cuatro personas que viajaban a bordo de la Cessna murieron en el impacto. El MD-87 perdió el motor derecho, el piloto intentó despegar, pero se estrelló contra un hangar de mantenimiento.;McDonnell Douglas MD-87;114 de 114
2002;9XR-RB de Ocean Airlines;Rayo Rwanda. Durante la aproximación a una altitud de 2.500 pies, el avión fue alcanzado por un rayo. La tripulación decidió iniciar un procedimiento de aproximación frustrada, pero el sistema eléctrico falló parcialmente debido al rayo y tanto las brújulas giroscópicas como los horizontes artificiales fallaron. Se perdió el control y el avión se estrelló en una zona boscosa situada a pocos kilómetros del aeropuerto.;L-410NG;1 de 16
2002;2937 de Bashkirian Airlines;Colisión TCAS. El accidente se produjo por sobrecarga de trabajo del controlador aéreo de Skyguide, las instrucciones contradictorias entre el controlador y el TCAS equipado en los aviones. Los aviones involucrados en el accidente hicieron descensos previos al choque, debido a las advertencias de descenso provenían de diversas fuentes: mientras el avión de Bashkirian Airlines tenía una orden enviada por el controlador en tierra de descender de su nivel de vuelo FL360 (11 000 metros) a FL350 (10 700 metros aprox), el vuelo de DHL recibió la orden del sistema TCAS de hacer el mismo descenso al mismo nivel de vuelo.;Túpolev Tu-154M;71 de 71
2002;611 de China Airlines;Reparación. Se desintegró en el aire y se estrelló en el estrecho de Taiwán tan sólo veinte minutos después del despegue, matando a las 225 personas que viajaban a bordo. La causa del accidente fue una reparación inadecuada del avión veintidós años atrás. Durante un vuelo 1980 sufrió un golpe de cola mientras aterrizaba en Hong Kong, la reparación permanente del golpe de la cola no fue llevado a cabo de acuerdo al Manual de Reparaciones Estructural de Boeing (SRM). La zona de carenado dañado en la Sección 46 no fue suprimido y la reparación con doblador que se supone que cubría con creces el 30% de la zona dañada no era lo suficientemente extensa como para garantizar la restauración de la resistencia estructural. En consecuencia, tras repetidos ciclos de despresurización y presurización durante el vuelo, el cono de cola dañado comenzó a romperse gradualmente y finalmente se rompió en vuelo el 25 de mayo de 2002.;Boeing 747-209B;225 de 225
2004;3701 de Pinnacle Airlines;"Coffin Corner. Los investigadores determinaron que los dos pilotos estaban explorando los límites de desempeño del Bombardier CRJ-200 vacío en el vuelo. Los pilotos decidieron probar los límites del CRJ y unirse al ""club 410"", refiriéndose a los pilotos que llevaron los CRJ a su altitud máxima aprobada de nivel de vuelo 41 000 pies (12 497 m) sobre el nivel del mar. La secuencia del accidente comenzó cuando los pilotos realizaron varias maniobras no estándar a 4600 m (15 000 pies), incluido un cabeceo hacia arriba a 2,3 g (23 m/s 2) que indujo una advertencia de entrada en pérdida. Configuraron el Piloto automático para ascender a 500 pies/min (150 m/min) a FL410. Esto superó la tasa de ascenso recomendada por el fabricante en altitudes superiores a FL380. En el intento de alcanzar FL410, el avión se elevó a más de 1 a 2 g y el ángulo de ataque se volvió excesivo para mantener la velocidad de ascenso en la atmósfera superior más delgada. Después de alcanzar FL410, el avión navegaba a 150 nudos (170 mph, 280 km/h), velocidad indicada, apenas por encima de la velocidad de pérdida, y había sobrecargado los motores.";Bombardier CRJ200;2 de 2 (50)
2005;522 de Helios Airways;Hipoxia. Despegó del aeropuerto internacional de Larnaca (Chipre) con destino a Praga vía Atenas. Pero menos de tres horas después, los 121 pasajeros a bordo murieron cuando el Boeing 737-300 apodado 'Olympia' se estrelló contra las colinas cerca de Grammatikó, Grecia. Atrapado en un circuito a 10.700 metros en el cielo, no había habido comunicación desde el avión durante más de una hora. En las semanas anteriores, varias tripulaciones y pasajeros a bordo informaron problemas con el aire acondicionado y frecuentes temperaturas frías, lo que llevó a siete inspecciones separadas de su sistema de control ambiental. Incapacitación de la tripulación (hipoxia) por pérdida de presurización de cabina. Error del personal de mantenimiento (desactivaron la presurización automática) y los pilotos (no revisaron esos sistemas). Azafata estrelló el avión cuando se quedaron sin combustible para salvar a la gente en tierra.;Boeing 737-300;121 de 121
2006;3142 de LAPA;Whisky Romeo Zulu. Enrique Piñeyro expone casos de corrupción y negligencia por parte de la Fuerza Aérea Argentina, van incidentes con aeronaves de explotadores extranjeros (Air France 417), los accidentes de LAPA, de Fray Bentos y el del Aeródromo El Pampero. Mal estado de la torre del Aeropuerto de Ezeiza. Omisión del piloto Gustavo Weigel de extender los flaps para aumentar la sustentación de la nave, más la desatención intencional de la alarma que alertaba específicamente sobre la posición inapropiada de los flaps,? pese a que esa alarma sonó durante 52 segundos, los pilotos continuaron con el carreteo, dejando que la aeronave superara la velocidad V1 o velocidad de decisión, que una vez alcanzada hacía imposible abortar el despegue. El informe consideró que hubo una negligencia grave del piloto y el copiloto Luis Etcheverry, fallecidos en el accidente, así como una serie de falencias por parte de la empresa.;Boeing 737-204C;(2 tierra) 63 de 100 (35)
2006;1907 de Gol Transportes Aéreos;Colisión corte. Los pilotos estadounidenses del Legacy 600 apagaron sin querer el transpondedor, un dispositivo que establece una comunicación electrónica entre el equipo a bordo de la aeronave y la estación en tierra. La torre les dijo crossing 350, falla de terminología. Clearances temporales deben ser explícitos, repetidos y confirmados, “crossing/passing” solo no basta sin contexto.;Boeing 737-800;154 de 154 (7)
2007;120 de China Airlines;Fuego por FOD. La investigación se centró en la posibilidad de un escape de combustible como principal causa de la emergencia. En una conferencia de prensa, los investigadores dieron a conocer que una pieza del dispositivo hipersustentador (bolt nut) perforó el tanque de combustible del ala derecha, creando un pequeño agujero de 2 a 3 centímetros. La fricción del slat encendió el fuego.;Boeing 737-800;0 de 165 (4)
2007;1209 de Scandinavian Airlines;Tren no aseguró. Antes del aterrizaje, el tren de aterrizaje principal derecho no se bloqueó y la tripulación voló en círculos durante una hora mientras intentaba solucionar el problema y se preparaba para un aterrizaje de emergencia. Después de que el avión tocó tierra, el tren de aterrizaje derecho colapsó, el ala derecha golpeó el suelo y se produjo un incendio. El fuego se extinguió antes de que el avión se detuviera y todos los pasajeros y la tripulación fueron evacuados. Cinco personas sufrieron heridas leves, algunas por partes de la hélice que ingresaron a la cabina y otras por la evacuación. Cuando se activó la manija para bajar el tren de aterrizaje, el indicador mostró dos luces verdes y una roja. La luz roja indicaba que el tren de aterrizaje principal derecho no estaba bloqueado en su posición. El aterrizaje fue abortado. Los intentos de bajar el tren de aterrizaje manualmente también fueron infructuosos. Una investigación reveló que el perno de ojo del actuador hidráulico del tren de aterrizaje principal derecho se había separado del actuador. Un análisis más detallado del actuador mostró corrosión en las roscas tanto en las roscas internas de la varilla del pistón como en las roscas externas del extremo de la varilla, lo que provocó una reducción de la resistencia mecánica del actuador y su eventual falla.;Bombardier Dash 8 Q400;0 de 73 (5)
2008;38 de British Airways;Congelamiento combustible. Fallo doble de motores debido a cristales de hielo que obstruyeron los intercambiadores de calor del combustible. Las investigaciones de la AAIB (agencia de investigación británica) determinaron que el sistema anticongelamiento del combustible (FOHE) actuó en forma insuficiente, no pudiendo impedir la interrupción del flujo de combustible en el crucial momento del aterrizaje. Rolls Royce modificó el sistema anticongelante del combustible y la Agencia Europea de Seguridad Aérea (EASA) obligó a replicar esa modificación en todos los motores.;Boeing 777-236ER;0 de 152 (43)
2008;30 de Qantas;Botella Ox. Después de retirar el equipaje y la carga de la bodega delantera del avión, quedó evidente que un cilindro de oxígeno para pasajeros (número 4 de un banco de siete cilindros a lo largo del lado derecho de la bodega de carga) había sufrido una falla repentina y una descarga forzosa de su contenido presurizado hacia la bodega del avión, rompiendo el fuselaje en las proximidades del carenado del borde de ataque del ala-fuselaje. El cilindro había sido propulsado hacia arriba por la fuerza de la descarga, perforando el piso de la cabina y entrando en la cabina adyacente a la segunda puerta principal de la cabina. Posteriormente, el cilindro impactó el marco de la puerta, la manija de la puerta y el panel superior, antes de caer al piso de la cabina y salir del avión a través del fuselaje roto. Algunas máscaras de oxígeno que se desplegaron después de la explosión no funcionaron correctamente. Algunos pasajeros se vieron obligados a compartir una máscara cuando el avión se despresurizó, mientras que otros entraron en pánico cuando algunas máscaras no se desplegaron.;Boeing 747-438;0 de 365
2009;1549 de US Airways;"Amerizaje. El Airbus A320 realizó un amerizaje de emergencia en el río Hudson tras perder potencia en ambos motores debido a la colisión con una bandada de gansos.? Todos los pasajeros fueron rescatados. El comandante Chesley ""Sully"" Sullenberger y su copiloto Jeffrey Skiles mantuvieron profesionalmente la calma y evaluaron rápidamente la situación consultando los protocolos de emergencia.";Airbus A320-214;0 de 155
2009;447 de Air France;Congelamiento pitot, palancas. Lectura incorrecta de los anemómetros, probablemente causada por una obstrucción de los tubos pitot por cristales de hielo (engelamiento), seguido por un inadecuado manejo de los controles que desestabilizaron la trayectoria de vuelo (fallo de tubos pitot, error de los pilotos). Anteriormente ya se habían registrado varios problemas parecidos con los tubos Pitot de los Airbus A330 y A340. Debido a esto, Airbus ya había pedido a las aerolíneas que reemplazaran los tubos por un nuevo modelo que tiene menor probabilidad de congelarse o taponarse. Desafortunadamente, para el momento de la tragedia, Air France aún estaba en proceso de instalar los nuevos modelos en sus aeronaves, por lo que la aeronave usada en el vuelo 447 no contaba con el nuevo modelo. Con el avión a 10.000 pies (poco más de 3.000 m) Robert intenta coger el control del avión y mueve su mando hacia adelante para hacer que el morro del avión baje, pero debido a que los controles están en modo dual, el sistema promedia su orden con la de Bonin que aún tiene los controles hacia atrás, elevando el morro, por lo que la maniobra resulta inútil. A diferencia de los mandos de los aviones Boeing, los de los Airbus no se mueven sincronizadamente, por lo que Robert no podía saber lo que hacía Bonin a menos que mirase directamente a su palanca. No estaban deacuerdo si estaban subiendo o bajando.;Airbus A330-203;228 de 228
2011;812 de Southwest Airlines;Brecha. Se efectuó un aterrizaje de emergencia en Yuma, Arizona después de que apareciera una brecha de 1,8 metros en la parte superior del fuselaje del avión justo por detrás de la cabina de vuelo.? Se produjo una despresurización rápida a 36 000 pies, la causa probable de este accidente fue la instalación incorrecta del panel de revestimiento de la corona del fuselaje en la junta de solape S-4L durante el proceso de fabricación, lo que resultó en múltiples daños en el sitio, grietas por fatiga y eventuales fallas del panel inferior de la piel.;Boeing 737-3H4;0 de 123
2013;762 de British Airways;Tapa abierta. Despegó de la pista 27L en un servicio programado a Oslo, Noruega. En ese momento, las puertas de las cubiertas de ambos motores turbofan se desprendieron, perforando una tubería de combustible en el motor derecho y dañando el fuselaje. Los síntomas observados por la tripulación de vuelo incluyeron: degradación del control de empuje del motor, pérdida del sistema hidráulico amarillo y una fuga de combustible significativa. Después de la pérdida del sistema hidráulico amarillo, la tripulación declaró una PAN (Urgencia), con la intención de regresar a Heathrow una vez que hubieran evaluado completamente la situación. El ATC proporcionó vectores de radar para el ILS a la pista 27R. Durante la aproximación para aterrizar, se desarrolló un incendio externo en el motor derecho. Una advertencia de incendio del motor en la cabina de vuelo llevó a la tripulación a declarar un MAYDAY. Aunque se descargaron ambas botellas extintoras de incendios del motor y se apagó el motor derecho, el incendio no se extinguió por completo. El motor izquierdo continuó funcionando normalmente durante todo el vuelo. El avión aterrizó de manera segura y se detuvo en la pista 27R de Heathrow. El servicio de bomberos del aeropuerto atendió y extinguió rápidamente un pequeño incendio en el motor derecho. Los pasajeros y la tripulación evacuaron a través de los toboganes de escape del lado izquierdo del avión, sin lesiones.;Airbus A319-131;0 de 75
2016;2933 de LaMia;"Chapecoense. Bolivia - RNG. El informe final de Aeronáutica Civil de Colombia destaca que la empresa LaMia no cumplió con los requisitos de cantidad mínima de combustible, no tuvo en cuenta el combustible requerido para volar a un aeropuerto alterno, el de contingencia, el de reserva, ni el combustible mínimo de aterrizaje, ni la empresa ni la tripulación, aunque eran conscientes de la escasa cantidad de gasolina para terminar el vuelo en Rionegro, tomaron la decisión de no aterrizar en otro aeropuerto en ruta para reabastecer y completar así la cantidad mínima de combustible para proceder con seguridad a su destino final, deficiencias organizacionales, una difícil situación económica, inconvenientes en la dotación de cargos y problemas en su sistema de gestión de seguridad operacional y en el cumplimiento de las políticas de combustibles, establecidas en los manuales, pero ""no se cumplían en la práctica"". Unos 22 técnicos participaron en la investigación que determinó que la aeronave estaba en buenas condiciones, tenía el mantenimiento actualizado y que además contaba con una tripulación experimentada. Poco más de 5.000 dólares –entre el valor del combustible y los derechos de aeropuerto– habría costado la parada técnica en Bogotá, necesaria para evitar el accidente.";Avro RJ85;71 de 77
2018;610 de Lion Air;MCAS. Fallos en el sensor de ángulo de ataque (AoA) y otros instrumentos en ese y en vuelos anteriores, vinculados a un posible defecto de diseño relacionado con el sistema automático de estabilización (MCAS). Durante el vuelo, el MCAS recibía información errónea de los sensores de velocidad y altura, con un rango de fallo de 21°, de tal manera que el software procesaba que estaban entrando en pérdida e inclinara el avión 26° en el sentido contrario, pese a los intentos del capitán por ganar altura.;Boeing 737 MAX 8;189 de 189
2018;1380 de Southwest Airlines;Alabe. Sufrió una falla contenible de su motor izquierdo unos veinte minutos después del despegue del aeropuerto de Nueva York-LaGuardia el 17 de abril de 2018. Fatiga de bajo ciclo en la raíz del álabe del fanblade, que generó grieta subsuperficial no detectable por inspecciones visuales/NDT estándar. El álabe se desprendió, impactó la carcasa en su punto crítico de diseño y liberó fragmentos a alta velocidad. Restos del motor averiado golpearon el fuselaje de la aeronave y una ventana lateral, la cual estalló, causando una despresurización rápida de la aeronave. Una pasajera murió después de ser parcialmente expulsada de la ventana fallida. Otras siete personas resultaron heridas. La comandante hizo un descenso de emergencia y aterrizó en el Aeropuerto Internacional de Filadelfia tan pronto como le fue posible.;737-700;1 de 149
2018;1388 de Air Astana;Guayas. Un avión E190 de Air Astana despegó de una instalación de mantenimiento de OGMA en Portugal. Poco después del despegue, el avión se volvió casi incontrolable debido a la instalación invertida de los cables de control del alerón durante el mantenimiento. Esta configuración incorrecta hizo que los alerones respondieran en la dirección opuesta a las entradas del piloto, lo que provocó maniobras inesperadas y extremas. En un momento dado, consideraron amerizar en el océano mientras luchaban por recuperar el control, se desplegaron aviones de combate F-16 portugueses para ayudar. Finalmente pudieron aterrizar el avión de manera segura en Beja, Portugal, en su tercer intento.;Embraer E190;0 de 6 (ferry)
2018;611 de India Express;Tornillo. Durante el despegue en el Aeropuerto Internacional de Tiruchirappalli, en India, el capitán de la aeronave experimentó una falla en el asiento de la cabina. Esto provocó que el asiento se deslizara hacia atrás, lo que a su vez hizo que el capitán perdiera el control de la aeronave momentáneamente, reduciendo la potencia de los motores. Como consecuencia directa de esta pérdida de control, el avión impactó la antena del sistema de aterrizaje por instrumentos (ILS) y el muro del aeropuerto con la parte trasera del fuselaje, sufriendo un golpe de cola (tail strike).;Boeing 737-800;0 de 136
2019;302 de Ethiopian Airlines;MCAS. Boeing habló de reparar el software del MCAS, en inglés: Manoeuvring Characteristics Augmentation System, pues una de las hipótesis del accidente apunta a que este fue el responsable de la pérdida de altura.? Sin embargo, varios meses después no se había realizado ninguna acción correctiva.;Boeing 737 MAX 8;157 de 157
2019;Saint-Dizier Francia;"Eyección. El 20 de marzo de 2019, un pasajero civil fue expulsado accidentalmente de un avión de combate biplaza Rafale B cuando el avión despegaba de la base aérea Saint-Dizier, ubicada al este de Francia. El informe final del comité de investigación francés para la seguridad de la aviación estatal (BEA-E) describió la cadena de fallas tanto humanas como técnicas (una de las cuales inesperadamente evitó que el avión de combate se estrellara) que produjeron el particular incidente. El pasajero civil fue identificado como un hombre de 64 años que trabaja con una importante compañía de de defensa francesa, al cual le ofrecieron un ""vuelo de observación"" en un avión de combate Dassault Rafale B como regalo. Debido a lo ""informal"" del vuelo, no se respetó el protocolo habitual. En cambio, el pasajero fue examinado por un médico cuatro horas antes del vuelo y fue declarado apto para volar, con la condición de que no fuera sometido a gravedades negativas. Dicha información no fue comunicada al piloto. El informe reporta que el civil ya estaba nervioso cuando ingresó a la cabina, con un ritmo cardíaco registrado entre 136 y 142 latidos por minuto. La investigación encontró que los controles de seguridad del pasajero habían sido, en el mejor de los casos, superficiales. El pasajero realizó la mayor parte de su instalación en la cabina por sí mismo, como consecuencia, su visera estaba levantada, sus pantalones anti-g no estaban ajustados correctamente, su casco y máscara de oxígeno estaban desabrochados y las correas de sus asientos no estaban lo suficientemente apretadas.";Dassault Rafale B;0 de 2
2020;29 de Avianca;Globo. El vuelo AVA029, de la aerolínea Avianca, que venía de Orlando, Florida (EE. UU.), se estrelló de lleno con un globo pirotécnico liberado en Antioquia. El globo se enredó en los motores, alas y estabilizadores horizontales de la aeronave.;Airbus A319;0 de 171
