Fecha;Documento;Titulo;Observaciones
11/ene/2003;ARP 5583A;Guide to Certification of Aircraft in a High Intensity Radiated Field (HIRF) Environment;This guide provides detailed information, guidance, and methods related to the Federal Aviation Administration Advisory Circular (AC)/Joint Airworthiness Authorities Advisory Material Joint (AMJ) 20-XXX, "Certification of Aircraft Electrical/Electronic Systems for Operation in the High Intensity Radiated Fields (HIRF) Environment" (draft). The AC/AMJ provides acceptable means, but not the only means, of compliance with Parts 23, 25, 27, and 29 of the Federal Aviation Regulations (FAR)/Joint Aviation Regulations (JAR) to prevent hazards to aircraft electrical and electronic systems due to HIRF produced by external transmitters. This guide is neither mandatory nor regulatory in nature and does not constitute a regulation or legal interpretation of the regulation. The information in this guide represents a collection of best engineering practices that have been used to certify aircraft HIRF protection. An applicant may elect to establish an alternative method of compliance that is acceptable to the Federal Aviation Administration (FAA) or Joint Aviation Authorities (JAA).
09/ene/2024;ASTM D4054-23;Standard Practice for Evaluation of New Aviation Turbine Fuels and Fuel Additives;ASTM D4054 was developed as a guide by the engine and airplane OEMs (original equipment manufacturers) with ASTM International member support. It provides the producer of an alternative fuel with guidance of what is expected in the form of required testing and OEM involvement. It also includes property targets that are based on OEM experience with the impact of fuel or additives on the design and performance of gas turbine engines. An overview of the ASTM D4054 evaluation and approval process is shown in Figure 1. The fuel producer should engage the key organizations within international aviation jet fuel community that typically support the evaluation and approval of new fuels. These include ASTM International, the Coordinating Research Council (CRC), and Commercial Aviation Alternative Fuels Initiative (CAAFI).
04/nov/2022;ASTM D7566-22;Standard Specification for Aviation Turbine Fuel Containing Synthesized Hydrocarbons;This specification defines the minimum property requirements for aviation turbine fuel that contain synthesized hydrocarbons and lists acceptable additives for use in civil operated engines and aircrafts. Specification D7566 is directed at civil applications, and maintained as such, but may be adopted for military, government, or other specialized uses. This specification can be used as a standard in describing the quality of aviation turbine fuel from production to the aircraft. However, this specification does not define the quality assurance testing and procedures necessary to ensure that fuel in the distribution system continues to comply with this specification after batch certification. Such procedures are defined elsewhere, for example in ICAO 9977, EI/JIG Standard 1530, JIG 1, JIG 2, API 1543, API 1595, and ATA-103.
01/jun/2020;ASTM F2490-20;Standard Guide for Aircraft Electrical Load and Power Source Capacity Analysis;This guide covers how to prepare an electrical load analysis (ELA) to meet Federal Aviation Administration (FAA) requirements. This guide is intended to address aircraft level electrical load analysis. Electric propulsive power load analysis was not considered in the development of this guide.
21/sep/2018;CAAE-001-21.000-00;CIRCULAR DE ASESORAMIENTO DE LA AVIACIÓN DE ESTADO;Proceso general de certificación de productos aeronáuticos y reconocimiento de organizaciones para la Aviación de Estado. Dar a conocer a la comunidad regulada, proveedores y partes interesadas cuales son las responsabilidades, participantes y requerimientos generales para llevar a un buen término un proceso de certificación aeronáutica ante la AAAE y sus entes delegados.
28/jun/2004;CONPES 3293;AUTORIZACIÓN A LA NACIÓN PARA CONTRATAR OPERACIONES DE CRÉDITO EXTERNO HASTA POR US$ 234.56 MILLONES O SU EQUIVALENTE EN OTRAS MONEDAS PARA LA REPOSICIÓN DE LOS AVIONES DE COMBATE TÁCTICO DE LA FUERZA AÉREA COLOMBIANA;El objetivo del proyecto es la adquisición de 24 aviones turbohélice nuevos, con el fin de enfrentar la amenaza del tráfico ilícito de drogas, el conflicto armado interno y la defensa nacional. Estas aeronaves serán utilizadas para misiones de interdicción, apoyo aéreo cercano, vigilancia y reconocimiento aéreo armado.
09/jun/2008;CONPES 3522;LINEAMIENTOS GENERALES PARA LA IMPLEMENTACIÓN DE ACUERDOS DE COOPERACIÓN INDUSTRIAL Y SOCIAL – OFFSETS- RELACIONADOS CON ADQUISICIONES EN MATERIA DE DEFENSA EN COLOMBIA;La mayoría de los países solicitan offsets en el momento de una adquisición de un sistema de defensa a una empresa extranjera. Estos convenios de cooperación permiten acceder a tecnologías y conocimientos que de ninguna otra forma estarían disponibles en el mercado. De hecho, muchos países han aprovechado esta figura para consolidar sectores industriales estratégicos y para hacerse competitivos en la producción de bienes con alto contenido tecnológico. España, Brasil, Corea del Sur y Turquía son muestra de ello.
14/jul/2008;CONPES 3533;ADECUACIÓN DEL SISTEMA DE PROPIEDAD INTELECTUAL A LA COMPETITIVIDAD Y PRODUCTIVIDAD NACIONAL;Un tratamiento acertado de la propiedad intelectual incentivará la investigación y la producción de nuevas creaciones y generará un clima de seguridad para la inversión y en particular, de aquella destinada a la innovación.
08/ago/2016;CONPES 3866;POLÍTICA NACIONAL DE DESARROLLO PRODUCTIVO;Dicha política se define como un conjunto de instrumentos sectoriales y transversales para resolver fallas de mercado, de gobierno y de articulación que inhiben el crecimiento de la productividad o que dificultan los procesos de sofisticación del aparato productivo colombiano.
13/ene/2020;CONPES 3983;POLÍTICA DE DESARROLLO ESPACIAL: CONDICIONES HABILITANTES PARA EL IMPULSO DE LA COMPETITIVIDAD NACIONAL;Colombia es un mercado que tiene un potencial importante en el uso de servicios satelitales. En 2018 el país gastó 282 millones de dólares en servicios satelitales (comunicaciones, navegación e imágenes satelitales). Es de resaltar que el Gobierno nacional realizó más del 50% de estas compras.
30/nov/2020;CONPES 4011;POLÍTICA NACIONAL DE EMPRENDIMIENTO;Las causas de esta problemática comprenden las insuficientes habilidades y competencias para el emprendimiento, el incipiente desarrollo de mecanismos de financiamiento y dificultades de acceso a activos productivos, las insuficientes redes y baja comercialización e internacionalización, el limitado desarrollo tecnológico y poca innovación, y la debilidad institucional en el apoyo al ecosistema emprendedor.
17/dic/2024;DE-AAAES-FR-012;FORMATO DE APROBACIÓN DE DOCUMENTO TÉCNICO;Recepción de documentos para cambiar el expediente de diseño, producción, control configuración
20/nov/2024;DE-AAAES-FR-022;LISTA DE VERIFICACÓN PARA VISITAS DE ACOMPAÑAMIENTO A ENTES DE AVIACIÓN ESTADO;Documento empleado para las visitas de acompañamiento para confirmar cumplimiento de los estándares adoptados dentro de los Entes de Aviación de Estado.
29/dic/2025;DE-AAAES-FR-062;FORMATO REPORTE VALIDACIÓN DE ENSAYOS PARA COMPONENTES AERONÁUTICOS;Validación de resultados al final de proyecto
24/oct/2024;DE-AAAES-PR-007;PROCEDIMIENTO APROBACIÓN DE MODIFICACIONES MAYORES AL DISEÑO TIPO DEL PRODUCTO AERONAUTICO;Establecer las actividades a desarrollarse por parte de la Autoridad Aeronáutica Aviación de Estado (AAAES) para la aprobación de una modificación o alteración mayor al Diseño Tipo de los productos aeronáuticos de la Aviación de Estado (AE), con el fin de que se cumplan las condiciones de aeronavegabilidad y seguridad requeridas para su implementación y uso en las aeronaves o productos a ser intervenidas, en el marco de lo establecido en el RACAE 21 “Certificación De Productos Aeronáuticos y Reconocimiento Organizaciones De Diseño y Producción”. Cuestionario Modificación Mayor
02/abr/2025;"DE-AAAES-PR-008
";PROCEDIMIENTO APROBACIÓN DISEÑO DE PRODUCTO AERONÁUTICO;Establecer las actividades del proceso de certificación definido por la Autoridad Aeronáutica Aviación de Estado (AAAES) para la Aprobación de Diseño Aeronáutico para la Aviación de Estado.
05/ago/2025;DE-AAAES-PR-009;PROCEDIMIENTO CERTIFICACIÓN DE PRODUCCIÓN AERONÁUTICA;Verificar y evaluar los procesos de producción de productos aeronáuticos que se requieran para el servicio de la Aviación de Estado, conforme con el Parte 21 (RACAE 21) “Certificación de Productos Aeronáuticos y Reconocimiento Organizaciones de Diseño y Producción”, la normatividad vigente aplicable y los datos de diseño aprobados.
04/ago/2025;DE-AAAES-PR-010;PROCEDIMIENTO GESTION DE LAS DIFICULTADES EN SERVICIO DEL PRODUCTO AERONÁUTICO;Establecer las actividades para la gestión de las dificultades en servicio de los productos aeronáuticos certificados por la Autoridad Aeronáutica de Aviación de Estado (AAAES) de acuerdo a los lineamientos del Reglamento Aeronáutico Colombiano Aviación de Estado (RACAE) Parte 21 que, por su naturaleza, generalidad, persistencia u otros sucesos puedan afectar o causar efectos adversos en el mantenimiento de la aeronavegabilidad y la seguridad operacional de las aeronaves de la Aviación de Estado. 
09/abr/2026;DE-AAAES-PR-017;PROCEDIMIENTO VALIDACIÓN DE ENSAYOS PARA COMPONENTES AERONÁUTICOS;Establecer las actividades que deben seguirse para la validación de ensayos aplicables a componentes basados en estándares normativos, con el fin de verificar el cumplimiento de requisitos de funcionalidad, seguridad y desempeño, al servicio de la aviación de estado y bajo la supervisión de la AAAES.
07/may/2020;DE-AYUGE-FR-021;FORMATO ACTA GENERAL;Orden del dia, desarrollo, firmas del acta
26/feb/2020;DE-AYUGE-PR-016;PROCEDIMIENTO DE ORGANIZACIÓN REGISTROS HISTÓRICOS PROGRAMA DE DOCUMENTOS VITALES Y ESENCIALES PGD;manejo del archivo documental de los Expedientes de Aeronaves (Registros Históricos, Sistema ART, Componentes Aeronáuticos y Simuladores de Vuelo que desarrollan operaciones en la Fuerza Aérea) de carácter RESERVADO en la Dirección Logística Aeronáutica de la Fuerza Aérea Colombiana (DILOA).
08/dic/2010;DO-160;Environmental Conditions and Test Procedures for Airborne Equipment;Pruebas de medio ambiente, Section 4.0 – Temperature and Altitude, Section 5.0 – Temperature Variation, Section 6.0 – Humidity, Section 7.0 – Operational Shocks and Crash Safety, Section 8.0 – Vibration, Section 9.0 – Explosive Atmosphere, Section 10.0 – Waterproofness, Section 11.0 – Fluids Susceptibility, Section 12.0 – Sand and Dust, Section 13.0 – Fungus Resistance, Section 14.0 – Salt Fog, Section 15.0 – Magnetic Effect, Section 16.0 – Power Input, Section 17.0 – Voltage Spike, Section 18.0 – Audio Frequency Conducted Susceptibility – Power Inputs, Section 19.0 – Induced Signal Susceptibility, Section 20.0 – Radio Frequency Susceptibility (Radiated and Conducted), Section 21.0 – Emission of Radio Frequency Energy, Section 22.0 – Lightning Induced Transient Susceptibility, Section 23.0 – Lightning Direct Effects, Section 24.0 – Icing, Section 25.0 – Electrostatic Discharge, Section 26.0 – Fire and Flammability
05/ene/2012;DO-178C;Software Considerations in Airborne Systems and Equipment Certification;Como crear el software de forma segura hasta su certificación, clasificación en 5 niveles A-Catastrófico, B-Peligroso, C-Mayor, D-Menor, E-Sin efectos
22/jun/2023;DO-220B;Minimum Operational Performance Standards (MOPS) For Airborne Weather Radar Systems;DO-220B adds requirements and test procedures for a high-altitude ice crystal detection function for airborne weather radar. . Any of these functions may be implemented individually or in combination with any others. This document has been designed such that the requirements and test procedures for each function are grouped into distinct sections to facilitate testing and showing of compliance.
19/abr/2000;DO-254;Design Assurance Guidance for Airborne Electronic Hardware;Planeación, validación y diseño de hardware
08/nov/2005;DO-297;Integrated Modular Avionics (IMA) Development Guidance and Certification Considerations;DO-297 contains guidance for Integrated Modular Avionics (IMA) developers, application developers, integrators, certification applicants, and those involved in the approval and continued airworthiness of IMA systems in civil certification projects. It is focused on IMA-specific aspects of design assurance. IMA is described as a shared set of flexible, reusable, and interoperable hardware and software resources that, when integrated, form a platform that provides services, designed and verified to a defined set of requirements, to host applications performing aircraft functions. The primary industry-accepted guidance for satisfying airworthiness requirements for IMA components is included and it describes application properties as they relate to their integration with a platform.
06/ago/2014;DO-326A;Airworthiness Security Process Specification;This updated document is issued in parallel with DO-355 to address developmental and continuing airworthiness concerns. The guidance is intended to augment current guidance for aircraft certification to handle the threat of intentional unauthorized electronic interaction to aircraft safety. It adds data requirements and compliance objectives, as organized by generic activities for aircraft development and certification. The document is the core document of a series of documents on Aeronautical Systems Security that together will address information security for the overall Aeronautical Information System Security (AISS) of airborne systems with related ground systems and environment. It is intended to be used in conjunction with other applicable guidance material referenced.
13/dic/2011;DO-330;Software Tool Qualification Considerations;Software tools are widely used in multiple domains to assist in developing, verifying and controlling other software. In the context of this document a tool is a computer program or a functional part thereof, used to help develop, transform, test, analyze, produce or modify another program, its data or its documentation. Examples are automated code generators, compilers, test tools and modification management tools. This document explains the process and objectives for qualifying tools. This document provides software tool qualification guidance. Additionally, clarification material is provided in the form of Frequently Asked Questions (FAQs).
13/dic/2011;DO-331;Model Based Development and Verification Supplement to DO-178C and DO-278A;This supplement contains modifications and additions to DO- 178C and DO-278A objectives, activities, explanatory text and software life cycle data that should be addressed when model-based development and verification are used as part of the software life cycle. This includes the artifacts that would be expressed using models and the verification evidence that could be derived from them. Therefore, this supplement also applies to the models developed in the system process that define software requirements or software architecture. A model is an abstract representation of a set of software aspects of a system that is used to support the software development process or the software verification process. This supplement addresses model(s) that have the following characteristics: - The model is completely described using an explicitly identified modeling notation. The modeling notation may be graphical and/or textual. - The model contains software requirements and/or software architecture definition. - The model is of a form and type that is used for direct analysis or behavioral evaluation as supported by the software development process or the software verification process.
13/dic/2011;DO-332;Object Oriented Technology and Related Techniques Supplement to DO-178C and DO-278A;This supplement identifies the additions, modifications and deletions to DO-178C and DO-278A objectives when object-oriented technology or related techniques are used as part of the software development life cycle and additional guidance is required. This supplement, in conjunction with DO-178C, is intended to provide a common framework for the evaluation and acceptance of object-oriented technology (OOT) and related techniques (RT)-based systems. OOT has been widely adopted in non-critical software development projects.
13/dic/2011;DO-333;Formal Methods Supplement to DO-178C and DO-278A;This supplement identifies the additions, modifications and substitutions to DO-178C and DO-278A objectives when formal methods are used as part of a software life cycle, and the additional guidance required. It discusses those aspects of airworthiness certification that pertain to the production of software,using formal methods for systems approved using DO-178C. Formal methods are mathematically-based techniques for the specification, development and verification of software aspects of digital systems. The mathematical basis of formal methods consists of formal logic, discrete mathematics and computer-readable languages. The use of formal methods is motivated by the expectation that, as in other engineering disciplines, performing appropriate mathematical analyses can contribute to establishing the correctness and robustness of a design.
10/sep/2020;DO-355A;Information Security Guidance for Continuing Airworthiness;The guidance provided by this joint document is intended to constitute an Acceptable Means of Compliance for approving information security aspects of Continuing Airworthiness activities performed by Design Approval Holders and Operators. This document provides guidance for the operation and maintenance of aircraft and for organizations and personnel involved in these tasks. It is intended to support the responsibilities of the Design Approval Holder (DAH) to obtain a valid airworthiness certificate and aircraft operators to maintain their aircraft to demonstrate that the effects on the safety of the aircraft of information security threats are confined within acceptable levels. As all information security threats may have an intentional origin, this document also covers Intentional Unauthorized Electronic Interaction (IUEI).
23/sep/2014;DO-356;Airworthiness Security Methods and Considerations;This document was developed in the context of DO-326A "Airworthiness Security Process Specification" which addresses type certification considerations during the first three life cycle stages of an aircraft type (Initiation, Development or Acquisition, and Implementation) and DO-355, "Information Security Guidance for Continuing Airworthiness" which addresses airworthiness security for continued airworthiness. The methods and considerations of this document address the assessment of the acceptability of the airworthiness security risk and the design and verification of the airworthiness security attributes as related to system safety and airworthiness. More specifically, this guidance addresses the following areas: - It provides guidance for accomplishing the activities identified in DO-326A in the areas of Security Risk Assessment and Effectiveness Assurance. - It provides specific methods for Security Risk Analysis and Network Security Domains. The document is intended to be used in conjunction with other applicable guidance material, including SAE ARP 4754A, SAE ARP 4761, DO-178C, and DO-254 and with the advisory material associated with FAA AC 25.1309-1A and EASA AMC 25.1309, in the context of Part 25 for Transport Category Airplanes which include an approved passenger seating configuration of more than 19 passenger seats. This guidance is not intended for CFR Parts 23, 27, 29, 33.28, and 35.15, normal, utility, acrobatic, and commuter category airplanes, normal category rotorcraft, transport category rotorcraft, engines, and propellers.
16/dic/2014;DO-357;User Guide Supplement to DO-160G;The purpose of this document is to provide users of DO-160G additional background information for the associated test procedures and requirements in DO-160G. This information includes rationale for requirements, guidance in applying the requirements, commentary, possible trouble shooting techniques, and lessons learned from laboratory experience. This User Guide is provided for guidance purposes and does not contain requirements. This information is intended to help users understand the objective and rationale behind the requirements, and to help users develop detailed test procedures based on the general test procedures in this document. It is highly recommended that detailed discussion will take place between the equipment manufacturer and the equipment installer during the development of the test plan.
28/oct/2016;Doc 9625;Manual of Criteria for the Qualification of Flight Simulation Training Devices;This manual addresses the use of Flight Simulation Training Devices (FSTDs) representing aeroplanes (Volume I) and helicopters (Volume II). The methods, procedures and testing standards contained in this manual are the result of the experience and expertise provided by Civil Aviation Authorities (CAA) and aeroplane and FSTD operators and manufacturers. ICAO OACI
26/feb/2026;Doc 9760;Airworthiness Manual;5th This manual provides guidance to States on the establishment of an airworthiness inspection organization to meet their obligation under the Convention on International Civil Aviation to ensure that the aircraft on their registers are maintained in an airworthy condition. It also provides guidance to operators and State authorities on procedures for maintaining the airworthiness of aircraft. Technical guidance material on specific airworthiness topics is included to assist in the uniform implementation of Annex 8 - Airworthiness of Aircraft and in the development of a State's national regulations.
28/ene/2019;Doc 9859;Manual de gestión de la seguridad operacional;Esta edición tiene por objeto apoyar a los Estados en la implementación de programas estatales de seguridad operacional (SSP) eficaces. Esto comprende asegurar que los proveedores de servicios implantan sistemas de gestión de la seguridad operacional (SMS) con arreglo a las disposiciones del Anexo 19. A efectos de ser coherentes con los principios de gestión de la seguridad operacional, se ha realizado un esfuerzo concertado para centrarse en el  resultado previsto de cada norma y método recomendado evitando expresamente ser demasiado prescriptivo. Se ha hecho hincapié en la importancia de que cada organización adapte la implementación de la gestión de la seguridad operacional a su entorno específico. ICAO OACI
13/mar/2008;DoD 4145.26;DOD Contractor’s Safety Manual For Ammunition and Explosives;This Manual provides safety requirements, guidance and information to minimize potential accidents that could interrupt Department of Defense (DoD) operations, delay DoD contract production, damage DoD property, cause injury to DoD personnel, or endanger the public during DoD contract work or services involving ammunition and explosives (AE). The Manual contains the minimum contractual safety requirements to support DoD objectives. These requirements are not a complete safety program, and this Manual does not relieve a contractor from complying with Federal, State, interstate, and local laws and regulations INSTALACIONES
01/jul/1999;DoD 6055.9-STD;Ammunition and Explosives Safety Standards;It establishes uniform safety standards applicable to ammunition and explosives, to associated personnel and property, and to unrelated personnel and property exposed to the potential damaging effects of an accident involving ammunition and explosives during their development, manufacturing, testing, transportation, handling, storage, maintenance, demilitarization, and disposal.
01/mar/2021;ED-286;OSED for Counter-UAS in controlled airspace;DO-389 In the context recalled in the previous section, the scope of this Operational Services and Environment Definition (OSED) is to introduce the overall capability of a C-UAS System, including the detection capabilities of unauthorized UAS in a protected area of influence around an airport and address the resulting hazard or threat, in a risk-based balanced manner. While focus is on the protection of airports, associated air traffic and surroundings, similar situations in different environments might also be considered, such as flight operation around critical infrastructure, over urban areas, major events or mass gatherings. Threats considered in this document are the unauthorized UAS, conducting errant operations (i.e. malfunctions, clueless or careless operators) or malicious operations (i.e., intentional, criminal operators). The OSED document provides a detailed description of the operational services of a C-UAS system, and the environment in which such a system will operate. It proposes operational requirements and associated assumptions that will be further detailed in the complementary standard documents: Safety and Performance Requirements (SPR) and Interoperability Requirements (INTEROP).
